rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2495.0,2,2,1403.0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2695.0,3,2,1496.0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2295.0,2,2,1180.0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2095.0,2,2,1403.0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2495.0,2,2,1351.0
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,2390.0,0,1,
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,3615.0,1,1,
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,4520.0,2,1,
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,1930.0,0,1,
565052,Airdrie,Alberta,70 Elk Hill Southeast,51.2852509,-114.0101276,Long Term,Main Floor,1700.0,2,1,997.0
568480,Airdrie,Alberta,Cobblefield Mnr SW,51.2631292,-114.0411654,Long Term,Basement,1500.0,2,1,900.0
571970,Airdrie,Alberta,629 Hillcrest Road Southwest,51.2519353,-114.0137782,Long Term,Townhouse,2300.0,3,2,1600.0
111264,Airdrie,Alberta,100 Chinook Winds Pl SW,51.270215,-114.031145,Long Term,Apartment,2000.0,1,1,602.0
111264,Airdrie,Alberta,100 Chinook Winds Pl SW,51.270215,-114.031145,Long Term,Apartment,2225.0,2,2,886.0
565874,Airdrie,Alberta,140 Sagewood Boulevard Southwest,51.291531,-114.0420409,Short Term,Townhouse,2300.0,3,1,1086.0
518913,Airdrie,Alberta,502 Windbury Place,51.2496714,-114.0309421,1 year,Townhouse,2099.0,2,2,1265.0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1680.0,1,1,667.0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1685.0,1,1,669.0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1645.0,1,1,680.0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1910.0,2,2,939.0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,2145.0,2,2,1056.0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1950.0,2,2,983.0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1960.0,2,2,984.0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1720.0,1,1,650.0
564482,Airdrie,Alberta,1930 Luxstone Park Southwest,51.2746543,-114.0191365,Long Term,House,3500.0,5,3,2700.0
565356,Airdrie,Alberta,Windbury Pl SW,51.2496146,-114.030942,Long Term,Townhouse,2400.0,3,2,1341.0
566068,Airdrie,Alberta,SouthPoint Heath SW,51.251492859256,-114.012470104229,Long Term,Townhouse,2400.0,2,2,1470.0
563675,Airdrie,Alberta,171 Baneberry Way SW,51.2920342,-114.0502138,1 year,House,2800.0,3,2,2100.0
564285,Airdrie,Alberta,212 Bayview Street,51.2770614,-114.043381,Long Term,Basement,1550.0,2,1,900.0
563680,Airdrie,Alberta,49 Willow Green SW,51.2910811,-114.0512376,1 year,House,2800.0,3,2,2100.0
547613,Airdrie,Alberta,491 Canals Crossing Southwest,51.281783797677,-114.026080490738,Long Term,Townhouse,2400.0,3,2,1400.0
571533,Airdrie,Alberta,260 Langwell Common SE,51.261387745429,-113.977984683331,Long Term,Main Floor,2600.0,3,2,1608.0
550535,Airdrie,Alberta,20 Kingsland Close SE,51.2660887,-113.9901988,Long Term,Apartment,1737.0,2,1,792.0
559699,Airdrie,Alberta,1534 Bayside Avenue SW,51.2727522,-114.0360575,Long Term,Townhouse,2800.0,3,2,1726.0
559699,Airdrie,Alberta,1534 Bayside Avenue SW,51.2727522,-114.0360575,Long Term,Townhouse,2675.0,3,2,1704.0
559699,Airdrie,Alberta,1534 Bayside Avenue SW,51.2727522,-114.0360575,Long Term,Townhouse,2475.0,2,2,1382.0
566333,Airdrie,Alberta,61 Willow Green Southwest,51.2910811,-114.0512376,Long Term,House,3000.0,4,2,2300.0
570380,Airdrie,Alberta,1191 Lanark Boulevard,51.2589463,-113.9768104,1 year,Townhouse,2450.0,3,2,1300.0
528653,Airdrie,Alberta,113 Windstone Avenue Southwest,51.2592925,-114.0290917,Long Term,Townhouse,2300.0,2,2,1250.0
566757,Airdrie,Alberta,Cobblefield Mnr SW,51.263773692711,-114.040650415869,Negotiable,Basement,3800.0,2,1,900.0
463838,Airdrie,Alberta,403 Mackenzie Way Southwest,51.2891518,-114.0230327,Long Term,Condo Unit,1950.0,2,1,677.0
567883,Airdrie,Alberta,S Point Gate SW,51.2529298,-114.011578,Long Term,Townhouse,2600.0,3,2,1515.0
566592,Airdrie,Alberta,673 Windrow Manor Southwest,51.2526265,-114.0360833,Long Term,House,3000.0,3,2,2000.0
561775,Airdrie,Alberta,462 Bayview Manor Southwest,51.2831517,-114.0459165,Short Term,Room For Rent,700.0,1,1,1600.0
453882,Airdrie,Alberta,45 Gateway Drive,51.3044974,-114.0115628,Long Term,Apartment,1630.0,1,1,616.0
453882,Airdrie,Alberta,45 Gateway Drive,51.3044974,-114.0115628,Long Term,Apartment,1630.0,1,1,616.0
453882,Airdrie,Alberta,45 Gateway Drive,51.3044974,-114.0115628,Long Term,Apartment,2090.0,2,2,971.0
453882,Airdrie,Alberta,45 Gateway Drive,51.3044974,-114.0115628,Long Term,Apartment,1735.0,1,1,654.0
453882,Airdrie,Alberta,45 Gateway Drive,51.3044974,-114.0115628,Long Term,Apartment,1710.0,1,1,616.0
453882,Airdrie,Alberta,45 Gateway Drive,51.3044974,-114.0115628,Long Term,Apartment,1840.0,1,1,711.0
453882,Airdrie,Alberta,45 Gateway Drive,51.3044974,-114.0115628,Long Term,Apartment,1955.0,2,2,906.0
453882,Airdrie,Alberta,45 Gateway Drive,51.3044974,-114.0115628,Long Term,Apartment,1670.0,1,1,616.0
533341,Airdrie,Alberta,349 Hillcrest Road Southwest,51.2491537,-114.0171847,Long Term,Duplex,2550.0,3,2,1361.0
570056,Airdrie,Alberta,177 Baysprings Gardens Southwest,51.2777434,-114.0446346,Long Term,House,4000.0,4,4,2328.0
417675,Airdrie,Alberta,215 Flett Dr NE,51.2987494,-114.0103409,Negotiable,House,2450.0,3,2,
572464,Airdrie,Alberta,1309 Windstone Road Southwest,51.2598366,-114.0281494,Long Term,Townhouse,2200.0,3,2,1350.0
572461,Airdrie,Alberta,Windsong Blvd SW,51.2561616,-114.0321096,Long Term,Townhouse,2350.0,2,1,1038.0
528636,Airdrie,Alberta,317 windbury road sw airdrie,51.2496146,-114.030942,Long Term,Townhouse,2400.0,3,2,1500.0
522720,Airdrie,Alberta,462 Canals Crossing Southwest,51.2822242,-114.0268172,Long Term,Townhouse,2250.0,3,2,1400.0
485297,Airdrie,Alberta,23 Williamstown Landing Northwest,51.3040693,-114.0266121,Long Term,House,3150.0,4,3,
463113,Airdrie,Alberta,500 Tower Lane Dr. SW,51.289311,-114.01757,Long Term,Apartment,1759.0,2,1,955.0
463113,Airdrie,Alberta,500 Tower Lane Dr. SW,51.289311,-114.01757,Long Term,Apartment,1859.0,2,1,955.0
510999,Airdrie,Alberta,380 Lawthorn Way Southeast,51.2578355,-113.980444,Long Term,House,2500.0,3,2,1316.0
570953,Airdrie,Alberta,1001 8 Street Northwest,51.3061638,-114.0265646,Long Term,Townhouse,2600.0,3,2,
525219,Airdrie,Alberta,510 Windbury Place SW,51.2496275,-114.030942,Long Term,Townhouse,2150.0,2,2,1265.0
571671,Airdrie,Alberta,204 Morningside Green Southwest,51.2672405,-114.0120077,Long Term,Main Floor,3000.0,3,2,2504.0
571391,Airdrie,Alberta,Hillcrest Square SW,51.2500153,-114.02226,Long Term,Duplex,2600.0,3,2,1800.0
569454,Airdrie,Alberta,201 Cooperswood Green Southwest,51.2593,-114.02104,Negotiable,Room For Rent,1500.0,1,1,1600.0
569845,Airdrie,Alberta,Chinook Winds Dr SW,51.2654043,-114.04462,Long Term,House,2500.0,3,2,1800.0
536587,Airdrie,Alberta,1136 Hillcrest Lane Southwest,51.2507194,-114.0239848,Long Term,Basement,1600.0,1,1,725.0
319503,Airdrie,Alberta,152 Windford Gardens Southwest,51.2537716,-114.0305299,Long Term,Townhouse,2200.0,3,1,1300.0
530757,Airdrie,Alberta,323 Windbury Rd SW,51.2496146,-114.030942,Long Term,Townhouse,2500.0,3,2,1458.0
